yb_wl_corr,er_no_synchr,er_wl_corr,er_synch,yb_synch,yb_no_synch,yb_wl,er_wl,,
969.365863264664,-200.469374186955,1418.58874777112,-200.834454289445,-197.246908187977,-196.959825480709,977.274663708403,1442.15728980927,,
969.431766667021,-200.675309054861,1418.73850760046,-200.833431771046,-197.317305923208,-197.072658050092,977.331971014801,1442.28208966705,,
969.497677798973,-200.600996319106,1418.88829335154,-200.831407560562,-197.295530672657,-196.920802293974,977.389285042585,1442.40691112628,,
969.563596661878,-200.368943857138,1419.03810503111,-200.836670961996,-197.166626741736,-196.73173256311,977.446605792937,1442.53175419259,,
969.629523257097,-200.344399745944,1419.1879426459,-200.828912859324,-197.298504931559,-197.123372286472,977.503933267041,1442.65661887158,,
969.69545758599,-200.565222498463,1419.33780620263,-200.838941222523,-197.328887553133,-197.004036838007,977.561267466078,1442.78150516886,,
969.761399649918,-200.688603374652,1419.48769570806,-200.82771763961,-197.206636632065,-196.776485257936,977.618608391233,1442.90641309005,,
969.827349450243,-200.511817349308,1419.63761116891,-200.839681007377,-197.229497259108,-196.918384114437,977.675956043689,1443.03134264076,,
969.893306988326,-200.322812852906,1419.78755259194,-200.828171224919,-197.290331417083,-197.05304222164,977.733310424631,1443.15629382662,,
969.959272265529,-200.412212250196,1419.9375199839,-200.838781695788,-197.324273373712,-196.993287594756,977.790671535242,1443.28126665325,,
970.025245283213,-200.646250250465,1420.08751335151,-200.830157713918,-197.166029926863,-196.702432017088,977.848039376707,1443.40626112626,,
970.091226042742,-200.65292088881,1420.23753270154,-200.83658572481,-197.24880414236,-197.025210716562,977.90541395021,1443.53127725128,,
970.157214545479,-200.421056499644,1420.38757804073,-200.833160073574,-197.34347521176,-197.094163699779,977.962795256938,1443.65631503394,,
970.223210792785,-200.320483782531,1420.53764937584,-200.833761091054,-197.225203176246,-196.784562929003,978.020183298074,1443.78137447987,,
970.289214786027,-200.503595772026,1420.68774671363,-200.836423774334,-197.207564571509,-196.861463728664,978.077578074806,1443.90645559469,,
970.355226526565,-200.691466214705,1420.83787006086,-200.831100998264,-197.255736032264,-197.006414916501,978.134979588317,1444.03155838405,,
970.421246015766,-200.579294638946,1420.98801942427,-200.839166780163,-197.340097469386,-197.071298212116,978.192387839796,1444.15668285356,,
970.487273254992,-200.351080073993,1421.13819481066,-200.829311544809,-197.198088778087,-196.730679807012,978.249802830428,1444.28182900888,,
970.55330824561,-200.361982775158,1421.28839622677,-200.840777317836,-197.186375564633,-196.873171394027,978.3072245614,1444.40699685564,,
970.619350988985,-200.596683260206,1421.43862367936,-200.828844191587,-197.334803307983,-197.159107890649,978.3646530339,1444.53218639947,,
970.68540148648,-200.689609890803,1421.58887717522,-200.840951011587,-197.263710543391,-196.849850670759,978.422088249113,1444.65739764602,,
